id,title,artist,lyrics
2425253,그 얼굴에 햇살을,이용복,눈을감으면 저 멀리서 다가오는 다정한 그림자\n옛 얘기도 잊었다 하자 약속의 말씀도 잊었다 하자 \n\n그러나 눈 감으면 잊지 못한 그사람을 \n저 멀리 저 멀리서 무지개 타고 오네\n\n그러나 눈 감으면 잊지 못한 그 사람을 \n멀리 저 멀리서 무지개 타고 오네 \n\n그러나 눈 감으면 잊지 못할 그 사람을 \n저 멀리 저 멀리서 무지개 타고 오네
1767912,그건 너,이장희,<제1절> \n모두들 잠드는 고요한 이밤에 \n어이해 나홀로 잠못이루나 \n넘기는 책속에 수많은 글들이 \n어이해 한자도 뵈이질 않나 \n \n그건너 그건너 바로너 때문이냐 \n그건너 그건너 바로너 때문이냐 \n \n<2절> \n언제는 비가오는 종로거리를 \n우산도 않받고 혼자걸었네 \n우연히 마주친 동창생 녀석이 \n너미쳤니 하면서 껄걸웃더군 \n \n그건너 그건너 바로너 때문이냐 \n그건너 그건너 바로너 때문이냐 \n그건너 그건너 바로너 때문이냐 \n \n<3절> \n전화를 걸려고 동전바꿨네 \n종일토록 번호판과 씨름 했었네 \n그러다가 당신이 받으면 끊었네 \n왠일인지 바보처럼 울고말았네 \n \n그건너 그건너 바로너 때문이냐 \n그건너 그건너 바로너 때문이냐 \n \n그건너 그건너 바로너 때문이냐 \n그건너 그건너 바로너 때문이냐 \n \n그건너 그건너 그건너\n\n
1105105,그대로 그렇게,Fevers,내 사랑하는\n그대여 정말 가려나\n내 가슴 속에\n외로움 남겨둔채로\n내 사랑하는\n그대여 정말 가려나\n내 가슴 속에\n서글픔 남겨둔채로\n떨어지는 저\n꽃잎은 봄이면 피지만\n내 사랑 그대\n떠나면 언제 오려나\n날아가는 저\n철새도   봄이면 오지만\n내 사랑 그대\n떠나면 언제 오려나\n그대로 그렇게\n떠나간다면\n난 정말 어찌 하라고\n그대로 그렇게\n떠나간다면\n난 정말 울어 버릴껄\n오 그대여 한\n마디만 해주고 떠나요\n지금까지 나를 정말 사랑 했다고\n오 그대여 이\n한마디 잊지말아요\n나는 오직 그\n대만을 사랑 한다는걸\n\n그대로 그렇게 떠나 간다면\n난 정말 어찌 하라고\n그대로 그렇게 떠나 간다면\n난 정말 울어버릴껄\n오 그대여 한\n마디만 해주고 떠나요\n지금까지 나를 정말 사랑 했다고\n오 그대여 이\n한마디 잊지말아요\n나는 오직 그대만을\n사랑 한다는걸\n오 그대여 한\n마디만  해주고 떠나요\n지금까지 나를 정말 사랑 했다고\n오 그대여 이\n한마디  잊지 말아요\n나는 오직 그대만을\n사랑 한다는걸\n오 그대여\n한마디만  해주고 떠나요\n지금까지 나를 정말 사랑 했다고\n오 그대여\n이 한마디  잊지 말아요\n나는 오직 그대 그대만을\n사랑 한다는걸\n오 그대여\n한마디만  해주고 떠나요\n지금까지 나를 정말 사랑 했다고\n \n
1074345,그때 그사람,심수봉,비가 오면 생각 나는 그 사람\n언제나 말이 없던 그 사람\n사랑의 괴로움을 몰래 감추고\n떠난 사람 못 잊어서 울던 그 사람\n그 어느날 차안에서 내게 물었지\n세상에서 제일 슬픈게 뭐냐고\n사랑보다 더 슬픈건 정이라며\n고개를 떨구던 그때 그 사람\n외로운 병실에서 기타를 쳐주고\n위로하며 다정했던 사랑한 사람\n안녕이란 단 한마디 말도 없이\n지금은 어디에서 행복할까\n어쩌다 한번쯤은 생각 해줄까\n지금도 보고 싶은 그때 그 사람\n\n외로운 내 가슴에 살며시 다가와서\n언제라도 감싸주던 다정했던 사람\n그러니까 미워하면 안되겠지\n다시는 생각해서도 안되겠지\n철없이 사랑인줄 알았었네\n이제는 잊어야 할 그때 그 사람\n이제는 잊어야 할 그때 그 사람\n \n
5684137,그리운 사람끼리,Toi Et Moi,그리운 사람끼리 두손을 잡고\n마주보고 웃음지며 함께 가는길\n두손엔 풍선을 들고 두눈엔 사랑\n가슴엔 하나가득 그리움이래\n그리운 사람끼리 두눈을 감고\n도란도란 속삭이며 걸어가는길\n가슴에 여울지는 푸르른 사랑\n기쁨엔 하나가득 그리움이래\n음\n
1767914,그애와 나랑은,이장희,그애와 나랑은 비밀이 있었네\n그애와 나랑은 남몰래 만났네\n그애와 나랑은 서로가 좋았네\n그애와 나랑은 사랑을 했다네\n하지만 지금은 그애는 없다네\n\n그애를 만나면 한없이 즐거웠네\n그애가 웃으면 덩달아 웃었네\n그애가 슬프면 둘이서 울었네\n그애와 나랑은 사랑을 했다네\n하지만 지금은 그애는 없다네\n\n그애의 이름은 말할 수 없다네\n \n
36641985,그쟈?,최백호,
47283,긴머리 소녀,둘 다섯,빗소리 들리면\n떠오르는 모습\n달처럼 탐스런\n하이얀 얼굴\n우연히 만났다\n말없이 가버린\n긴머리 소녀야\n눈먼 아이처럼\n귀먼 아이처럼\n조심 조심\n징검다리 건너던\n개울건너 작은 집의\n긴머리 소녀야\n눈감고 두손모아\n널 위해 기도하리라\n\n눈먼 아이처럼\n귀먼 아이처럼\n조심 조심\n징검다리 건너던\n개울건너 작은 집의\n긴머리 소녀야\n눈감고 두손모아\n널 위해 기도하리라\n널 위해 기도하리라\n \n
989477,길가에 앉아서,김세환,가방을 둘러멘\n그 어깨가 아름다워\n옆 모습 보면서\n정신없이 걷는데\n활짝 핀 웃음이\n내 발걸음 가벼웁게\n온 종일 걸어다녀도\n즐겁기만 하네\n길가에 앉아서\n얼굴 마주보며\n지나가는 사람들\n우릴 쳐다보네\n랄 라라 랄라라\n랄랄 라라라라라\n랄라라랄 라랄라\n랄라라라라랄라\n\n가방을 흔드는\n그 손이 아름다워\n뒷 모습 보면서\n정신없이 걷는데\n늘어진 가로수\n내 발걸음 가벼웁게\n온 종일 걸어 다녀도\n즐겁기만 하네\n길가에 앉아서\n얼굴 마주보며\n지나가는 사람들\n우릴 쳐다보네\n랄라라 랄랄라\n랄라 라라라랄라\n랄라라랄 라랄라\n랄라 라라라랄라\n\n길가에 앉아서\n얼굴 마주보며\n지나가는 사람들\n우릴 쳐다보네\n랄라라 랄랄라\n랄라 라라라랄라\n랄라라랄 라랄라\n랄라 라라라랄라\n랄라라 랄랄라\n랄라 라라라랄라\n랄라라랄 라랄라\n랄라 라라라랄라\n랄라라 랄랄라\n랄라 라라라랄라\n \n
1632356,꽃동네 새동네,정훈희,뜰 아래 반짝이는 햇살같이~ \n창 가에 속삭이는 별빛같이~ \n반짝이는 마음들이 모여삽니다~ \n오손도손 속삭이며 살아갑니다~ \n비바람이 불어도 꽃이 피듯이~ \n어려움속에서도 꿈은 있지요~ \n웃음이 피어나는 꽃동네 새동네~ \n행복이 번져가는 꽃동네 새동네~ \n \n뜰 아래 반짝이는 햇살같이~ \n창 가에 속삭이는 별빛같이~ \n반짝이는 마음들이 모여삽니다~ \n오손도손 속삭이며 살아갑니다~ \n비바람이 불어도 꽃이 피듯이~ \n어려움속에서도 꿈은 있지요~ \n웃음이 피어나는 꽃동네 새동네~ \n행복이 번져가는 꽃동네 새동네~
